ETF,DEA_Score,In_Risk,In_Cost,Out_Return,Out_Liquidity,Out_Diversity
HDV,1.0,0.1166656231412203,0.1617283950617284,0.5113209997654118,0.3995226018026026,0.581355566639257
SCHX,1.0,0.3046851060436427,0.1,0.4554548729730329,0.9576061718853855,0.7074814984565198
MGV,1.0,0.1723740802342531,0.1246913580246913,0.4783003539487195,0.3457247012570434,0.868912014882116
USMV,1.0,0.1,0.2481481481481482,0.3710168607046821,0.6179765357947544,0.8090640712831781
VTV,1.0,0.2007869722581194,0.1,0.4727739279584705,0.7796911123512582,0.9376285671919444
VO,1.0,0.308043297102216,0.1,0.4166319809164882,0.637161618233959,1.0
VYM,1.0,0.2002159047882174,0.1123456790123456,0.5043623104695949,0.6923289573993572,0.9696453365326289
SCHF,1.0,0.2324470588670421,0.1,0.6229235321908457,0.9254326995118048,0.8271409891754177
XLP,0.9758,0.180401924538333,0.1617283950617284,0.4071910307739999,0.7888604733162685,0.1
SCHD,0.9743,0.2498518643424893,0.137037037037037,0.5529334596008537,1.0,0.8466252375881268
VOO,0.9517,0.2957526678077266,0.1,0.456504583569254,0.9035722894479792,0.7022040090047585
IVV,0.9426,0.2981208634730695,0.1,0.4606846862460789,0.8965896935573602,0.6887615761023415
SPYV,0.9342,0.2499919442208311,0.1123456790123456,0.4458761561781841,0.6728752636618132,0.9973794535136082
IUSV,0.9325,0.2581834958478297,0.1123456790123456,0.444616942709115,0.5005115270166834,1.0
SPLV,0.9309,0.1039867889678489,0.371604938271605,0.3876964259116704,0.4704434076835783,0.6513702600326221
SPSM,0.8997,0.542880040313189,0.1,0.4071228041101458,0.5220555882987605,0.8726365878974969
SCHV,0.8991,0.2187854888642723,0.1123456790123456,0.4674570048410695,0.5284907324411279,0.9269401345321706
VB,0.8934,0.4762296116938602,0.1,0.4124827689598394,0.6455738776787868,0.854923634795034
DGRO,0.8917,0.1862497277643762,0.1617283950617284,0.4752592679444517,0.6393441064449799,0.8603345780030466
VONV,0.8914,0.228574118395136,0.137037037037037,0.4546884542296871,0.4552678262282366,1.0
VTI,0.8746,0.3153784934703048,0.1,0.450681544861802,0.8197102236831857,0.6849035493307093
VIG,0.8554,0.1979815132211574,0.1123456790123456,0.4277553992652625,0.6783515094176864,0.7583759082269523
SCHG,0.8382,0.4447193691360406,0.1123456790123456,0.4440316192953046,0.898871987140749,0.3825216019842821
XLF,0.8371,0.273040731459616,0.1617283950617284,0.4703128899967222,0.949731636337794,0.1035911192591294
ITOT,0.835,0.3153603219859763,0.1,0.4472358003559357,0.7424742613758031,0.7136688998827225
JEPI,0.8326,0.1769381283314217,0.4950617283950618,0.5802898266914718,0.7722006462061969,0.9774099187145304
VOE,0.8246,0.2897839399714429,0.1246913580246913,0.4623870640126358,0.4379420849887263,0.9829179191998167
IJH,0.8187,0.4394614607200767,0.1246913580246913,0.3995609345997877,0.9563888885786408,0.801105374546729
SCHB,0.8187,0.3101199291984921,0.1,0.4524303304448436,0.7629347561358837,0.657678983055417
SPMD,0.8186,0.438204512986129,0.1,0.4021852110903406,0.515870447343257,0.767414367173072
SCHM,0.8078,0.4203213010660062,0.1123456790123456,0.4175030793600373,0.4673463951987137,0.8745049404850169
XLV,0.8077,0.2629742376675388,0.1617283950617284,0.320769545118198,0.8877554055957824,0.1
VV,0.799,0.306871094973814,0.1,0.4536002378375767,0.5374022017018414,0.6978000350484613
SPYD,0.799,0.2798428429660814,0.1493827160493827,0.6256116428812907,0.3989924719070629,0.871386975452597
SPY,0.7932,0.3032518994266583,0.1802469135802469,0.451187660451853,1.0,0.6872207918256206
SPTM,0.7871,0.2992382232205616,0.1,0.4553159364684612,0.4004364864778038,0.6803418572988421
BBUS,0.7845,0.3023654769791506,0.1,0.4569401327910286,0.2872489559032892,0.675452596956176
VBR,0.7618,0.4493898422013579,0.1246913580246913,0.4628391567104889,0.5106620330459789,0.8936980170659047
SCHA,0.7559,0.5302857877814011,0.1123456790123456,0.4068648406612732,0.6149896462224229,0.8048056832427916
FDL,0.7514,0.1845849279915587,0.5938271604938274,0.607875778382138,0.3559696029873149,0.5613860318401791
FVD,0.7449,0.1429110584399605,0.8160493827160495,0.4158699546371045,0.3757503842670961,0.7645390453338365
RSP,0.7389,0.2750824962628946,0.3098765432098766,0.4099213002894085,0.9608903567071494,0.9941280347249372
IJR,0.7343,0.5486123748892401,0.137037037037037,0.3793826283745052,0.8520974551720066,0.892399875982368
VUG,0.7337,0.437487089857826,0.1,0.4425463594773088,0.6817436712710387,0.3189854818489411
VT,0.7297,0.2522681347167964,0.137037037037037,0.4929974721480266,0.7489505748472474,0.7311634741113194
IWD,0.7283,0.2297278211112852,0.2851851851851852,0.4394720430484427,0.7613480092589116,1.0
FNDF,0.7256,0.2302306748203484,0.371604938271605,0.6468728901273926,0.5304647671223963,1.0
VXF,0.7167,0.5158760716058818,0.1246913580246913,0.4291756550311551,0.480407616980248,0.8460428939244841
PBUS,0.6999,0.3057963539750379,0.1123456790123456,0.4590208142754112,0.3436459286494174,0.6762047908550478
DIA,0.6912,0.2346341955449487,0.2604938271604939,0.4155657268441884,0.7639084086111407,0.5735303236590594
SPYG,0.6895,0.4170414158689572,0.1123456790123456,0.4687946866990105,0.7195218383715551,0.409721903940256
IVE,0.6839,0.2516496483937788,0.2851851851851852,0.4282284279031563,0.5874977374659464,1.0
FDVV,0.6785,0.2335840657745223,0.2481481481481482,0.5846719032488963,0.3543613540228271,0.7645390453338365
XLI,0.6576,0.3210254265849614,0.1617283950617284,0.4837133153108408,0.8570795545210157,0.1242643193184422
XLK,0.6457,0.5489688729399023,0.1617283950617284,0.4752462340250064,1.0,0.1
IUSG,0.6456,0.4137321193391589,0.1123456790123456,0.4517820557384699,0.4970783754338794,0.3394766995133655
XLU,0.6411,0.3293993489110937,0.1617283950617284,0.49901888909598,0.8545465172405549,0.1
FNDX,0.641,0.2392311628531411,0.371604938271605,0.4691595260800676,0.6409155510425322,1.0
VDC,0.638,0.1507137493322284,0.1740740740740741,0.3818050170679232,0.2852173897121576,0.1
SCHE,0.6378,0.3316337404781536,0.1493827160493827,0.5605935635879133,0.474889432181876,0.7964102287586106
FTCS,0.6313,0.1459472908129448,0.7049382716049385,0.322079558867714,0.3154671870750574,0.7454308938705634
RWL,0.6312,0.1891460442229807,0.5444444444444446,0.4429773727626802,0.2994924349020003,0.9658115740803148
