ETF,Years_Data,Date,Return_CAGR (%),Return_Div (%),Risk_Vol (%),Risk_MaxDD (%),Cost_ExpRatio (%),Liq_Volume (M),Liq_AUM (B),Div_Score (產出),FinBERT_score
CGDV,3.0,2026-04-14,21.57,1.34,13.66,-14.53,0.33,2.59,32.17,5.9453,0.2133
VGK,3.0,2026-04-14,11.69,3.01,15.51,-14.65,0.06,2.93,31.08,,-0.1118
XLI,3.0,2026-04-14,20.2,1.27,16.13,-19.15,0.08,9.94,30.54,1.0,-0.1409
EFV,3.0,2026-04-14,16.2,4.01,14.94,-13.72,0.31,2.69,30.27,,-0.0059
ACWI,3.0,2026-04-14,16.74,1.59,14.38,-16.55,0.32,3.38,31.16,5.7339,0.0569
MGK,3.0,2026-04-14,24.58,0.39,19.92,-23.53,0.05,0.37,31.52,2.3923,0.1896
IDEV,3.0,2026-04-14,12.68,3.37,14.96,-13.5,0.04,1.13,29.06,,-0.0838
TQQQ,3.0,2026-04-14,54.95,0.75,58.59,-58.3,0.82,144.82,31.61,,-0.0865
IUSG,3.0,2026-04-14,23.31,0.58,18.61,-22.38,0.04,0.51,29.6,2.7739,0.3024
EEM,3.0,2026-04-14,15.53,2.16,17.67,-18.67,0.72,29.08,27.96,,-0.0239
VXF,3.0,2026-04-14,16.49,1.18,20.1,-27.38,0.05,0.42,28.32,6.9493,-0.0811
XLU,3.0,2026-04-14,10.51,2.59,16.14,-19.69,0.08,25.61,24.6,0.8,-0.279
MDY,3.0,2026-04-14,12.77,1.16,18.16,-24.5,0.23,0.91,26.03,6.6667,-0.1028
SOXX,3.0,2026-04-14,41.08,0.51,35.24,-41.67,0.34,4.56,27.65,0.863,0.0719
IUSV,3.0,2026-04-14,12.53,1.81,13.07,-18.56,0.04,0.72,25.29,8.2508,0.1395
XLC,3.0,2026-04-14,24.87,1.26,16.94,-18.21,0.08,5.54,25.74,0.8,-0.3461
AVUV,3.0,2026-04-14,16.19,1.41,21.56,-29.36,0.25,0.81,25.51,5.9032,-0.2399
FNDX,3.0,2026-04-14,16.11,1.62,13.33,-17.01,0.25,2.76,25.25,8.5106,0.1109
FNDF,3.0,2026-04-14,17.12,3.25,15.0,-14.48,0.25,1.17,23.03,8.4962,0.0004
USMV,3.0,2026-04-14,8.34,1.59,10.48,-9.68,0.15,2.52,23.13,6.6445,0.1664
DVY,3.0,2026-04-14,8.88,3.46,14.34,-17.46,0.38,0.52,22.56,6.0864,0.0093
MTUM,3.0,2026-04-14,22.97,0.82,19.85,-21.2,0.15,0.77,23.27,4.415,0.1496
VOOG,3.0,2026-04-14,23.85,0.54,18.86,-22.3,0.07,0.19,23.68,3.272,0.0536
XLY,3.0,2026-04-14,15.87,0.82,20.72,-26.35,0.08,9.17,23.26,0.8162,-0.298
AVEM,3.0,2026-04-14,17.55,2.45,17.47,-19.75,0.33,0.71,22.9,,0.0818
VOE,3.0,2026-04-14,12.49,1.99,14.08,-19.47,0.05,0.33,22.22,8.0775,-0.0796
VBK,3.0,2026-04-14,14.48,0.52,20.99,-27.76,0.05,0.25,22.48,5.8582,0.2205
RDVY,3.0,2026-04-14,17.13,1.03,17.0,-19.84,0.47,0.94,21.8,4.81,0.1435
SCHA,3.0,2026-04-14,14.75,1.17,20.47,-27.9,0.04,2.58,22.05,6.6094,0.2582
SDY,3.0,2026-04-14,6.2,2.53,12.4,-15.57,0.35,0.32,21.07,7.5019,-0.0265
CGGR,3.0,2026-04-14,23.84,0.11,19.06,-23.37,0.39,1.98,22.14,5.6818,0.4242
EMXC,3.0,2026-04-14,19.64,2.64,16.98,-20.5,0.25,2.11,21.48,,0.0229
EWJ,3.0,2026-04-14,14.88,4.33,19.0,-15.99,0.49,6.51,20.73,,-0.1867
DFIV,3.0,2026-04-14,18.57,2.73,14.78,-15.02,0.27,0.92,19.03,,0.2989
IYW,3.0,2026-04-14,29.3,0.15,23.39,-26.51,0.38,0.92,20.54,1.1569,-0.0406
IWP,3.0,2026-04-14,13.82,0.36,19.35,-25.26,0.23,0.89,19.81,5.8582,-0.2296
VYMI,3.0,2026-04-14,15.78,3.64,14.05,-13.53,0.07,0.63,19.07,,-0.0011
DFUS,3.0,2026-04-14,18.85,0.97,15.28,-19.61,0.09,0.41,19.59,5.8858,0.0
AVDV,3.0,2026-04-14,21.2,3.0,16.15,-14.17,0.36,0.52,18.96,,0.076
OEF,3.0,2026-04-14,21.26,0.98,15.95,-19.97,0.2,0.45,19.31,3.7418,0.0427
EWY,3.0,2026-04-14,30.87,1.69,28.77,-29.06,0.59,5.28,19.56,,0.066
IWV,3.0,2026-04-14,18.35,0.99,15.24,-19.48,0.2,0.19,18.69,5.7504,0.0569
COWZ,3.0,2026-04-14,9.09,2.06,15.35,-22.64,0.49,2.04,18.18,6.7159,0.1645
VONV,3.0,2026-04-14,13.27,1.82,13.13,-16.54,0.06,0.68,18.25,8.569,0.2152
SPYG,3.0,2026-04-15,24.7,0.58,18.91,-22.25,0.04,2.67,48.31,3.3529,-0.2204
VOT,3.0,2026-04-15,12.61,0.72,17.8,-21.91,0.05,0.19,18.22,5.8343,-0.073
SPEM,3.0,2026-04-15,13.4,2.84,15.97,-18.92,0.07,1.94,17.48,,0.0613
SPHQ,3.0,2026-04-15,18.7,1.19,14.16,-16.82,0.15,1.12,17.12,5.1921,0.0569
SPMD,3.0,2026-04-15,12.71,1.37,18.06,-24.63,0.03,1.47,17.02,6.3012,-0.2246
VHT,3.0,2026-04-15,3.96,1.72,13.84,-17.84,0.09,0.23,16.56,0.8,0.0377
FTEC,3.0,2026-04-15,26.91,0.46,23.53,-27.48,0.084,0.3,17.44,0.8,-0.0655
DGRW,3.0,2026-04-15,13.54,1.43,12.75,-16.79,0.28,0.68,16.46,7.0621,0.1326
BBJP,3.0,2026-04-15,14.67,5.13,18.94,-16.84,0.19,1.53,16.09,,-0.2933
DFAI,3.0,2026-04-15,14.7,2.45,14.36,-13.52,0.18,1.1,15.89,,-0.0723
ESGU,3.0,2026-04-15,18.39,1.07,15.34,-19.54,0.15,0.72,16.28,5.5096,-0.031
AVDE,3.0,2026-04-15,15.91,2.7,14.81,-13.46,0.23,0.46,15.71,,-0.1036
IWY,3.0,2026-04-15,24.73,0.39,19.4,-23.38,0.2,0.38,16.44,2.3931,0.1175
EFG,3.0,2026-04-15,8.36,2.58,16.51,-17.44,0.34,1.06,15.43,,-0.1697
VTWO,3.0,2026-04-15,14.65,1.26,21.23,-28.04,0.06,2.27,15.71,6.6845,0.0752
IWS,3.0,2026-04-15,13.05,1.48,15.59,-21.19,0.23,0.46,14.86,8.0906,-0.2328
SPSM,3.0,2026-04-15,11.29,1.59,20.53,-28.66,0.03,1.78,15.07,7.1685,-0.2448
XLP,3.0,2026-04-15,2.51,2.65,12.11,-14.55,0.08,13.16,14.54,0.8,-0.2929
GSLC,3.0,2026-04-15,17.69,1.06,14.8,-19.08,0.09,0.29,14.97,5.5006,-0.1141
SCZ,3.0,2026-04-15,11.7,3.27,15.25,-16.18,0.4,1.2,14.66,,-0.2676
ITA,3.0,2026-04-15,26.76,0.49,18.87,-15.88,0.38,0.57,14.19,0.8016,0.11
DFUV,3.0,2026-04-15,14.12,1.51,14.75,-18.26,0.21,0.34,14.44,7.4019,0.0
DFIC,3.0,2026-04-15,15.52,2.47,14.26,-13.4,0.22,0.98,13.63,,0.7162
SCHM,3.0,2026-04-15,13.63,1.41,17.76,-23.8,0.04,1.14,14.16,7.1839,-0.086
SOXL,3.0,2026-04-15,76.92,0.16,104.4,-87.97,0.75,88.44,14.22,,-0.0293
HDV,3.0,2026-04-15,8.78,2.92,11.67,-10.61,0.08,0.53,13.32,4.7676,0.1432
DFAS,3.0,2026-04-15,12.83,1.02,19.74,-26.48,0.26,0.42,13.96,6.9109,0.2773
SPMO,3.0,2026-04-15,31.26,0.91,19.04,-20.28,0.13,0.92,14.84,2.9293,-0.2208
DFAT,3.0,2026-04-15,13.77,1.56,20.42,-26.61,0.28,0.32,13.5,6.1958,0.3365
IWN,3.0,2026-04-15,14.05,1.63,20.83,-27.3,0.24,1.13,13.28,6.7705,-0.2401
IWO,3.0,2026-04-15,14.96,0.48,22.36,-28.92,0.24,0.45,13.66,5.4318,-0.2422
IQLT,3.0,2026-04-15,11.12,2.29,14.9,-14.16,0.3,1.54,13.03,,-0.07
PAVE,3.0,2026-04-15,25.93,0.86,20.22,-26.49,0.47,1.14,12.7,1.6295,0.106
VFH,3.0,2026-04-15,16.76,1.61,17.17,-17.65,0.09,0.53,12.74,0.8288,0.1038
SPTM,3.0,2026-04-15,18.46,1.2,14.91,-19.13,0.03,0.58,12.8,5.5835,0.1584
AMLP,3.0,2026-04-15,9.47,7.56,15.51,-15.79,1.01,1.44,11.93,0.8382,0.0508
SCHE,3.0,2026-04-15,12.64,2.94,16.56,-19.35,0.07,1.44,12.42,6.5402,0.0468
