ETF,Years_Data,Date,Return_CAGR (%),Return_Div (%),Risk_Vol (%),Risk_MaxDD (%),Cost_ExpRatio (%),Liq_Volume (M),Liq_AUM (B),FinBERT_score,FinBERT_date
IWR,3.0,2026-04-14,13.67,1.28,16.08,-21.61,0.18,1.63,48.22,-0.0984,2026-05-03
XLF,3.0,2026-04-14,16.37,1.6,16.25,-15.85,0.08,42.96,47.79,-0.287,2026-05-03
SMH,3.0,2026-04-14,52.51,0.29,34.19,-36.02,0.35,7.78,40.98,0.0832,2026-05-03
QUAL,3.0,2026-04-14,17.33,0.98,14.75,-18.43,0.15,1.46,46.52,0.1548,2026-05-03
VV,3.0,2026-04-14,18.9,1.13,15.24,-19.25,0.03,0.3,64.19,-0.2201,2026-05-03
IVE,3.0,2026-04-14,12.6,1.64,12.88,-18.35,0.18,0.75,46.62,0.2284,2026-05-03
JEPI,3.0,2026-04-14,1.85,8.4,10.43,-15.93,0.35,4.15,43.96,0.069,2026-05-03
IWB,3.0,2026-04-14,18.54,1.06,15.08,-19.31,0.15,0.97,42.78,0.0104,2026-05-03
DIA,3.0,2026-04-14,12.56,1.52,13.5,-16.51,0.16,4.01,41.76,-0.0737,2026-05-03
DFAC,3.0,2026-04-14,17.09,1.03,15.25,-20.44,0.17,2.03,40.42,0.6101,2026-05-03
VONG,3.0,2026-04-14,22.99,0.51,19.13,-23.47,0.06,1.22,44.95,0.1323,2026-05-03
XLE,3.0,2026-04-14,9.47,2.44,21.43,-22.06,0.08,35.79,43.6,-0.2121,2026-05-03
SCHB,3.0,2026-04-14,18.39,1.18,15.14,-19.58,0.03,4.3,36.93,-0.0263,2026-05-03
DGRO,3.0,2026-04-14,12.63,2.1,12.08,-14.97,0.08,1.72,37.55,0.0951,2026-05-03
XLV,3.0,2026-04-14,3.24,1.71,13.73,-18.11,0.08,9.9,38.6,-0.3339,2026-05-03
SPDW,3.0,2026-04-14,13.96,3.28,15.03,-13.96,0.03,3.61,35.65,-0.1147,2026-05-03
VNQ,3.0,2026-04-14,4.79,3.93,17.08,-19.38,0.13,4.1,64.66,-0.0822,2026-05-03
JEPQ,3.0,2026-04-14,8.96,11.11,15.47,-21.59,0.35,4.11,34.27,0.0128,2026-05-03
VBR,3.0,2026-04-14,13.19,1.91,18.29,-25.1,0.05,0.45,60.63,0.1813,2026-05-03
SPYV,3.0,2026-04-14,12.55,1.82,12.76,-18.38,0.04,2.7,31.78,-0.0915,2026-05-03
DYNF,3.0,2026-04-14,23.65,1.03,15.83,-18.98,0.26,1.81,30.01,0.0361,2026-05-03
GDX,3.0,2026-04-14,41.52,0.69,36.42,-30.84,0.51,22.52,28.16,0.0549,2026-05-03
CGDV,3.0,2026-04-14,21.57,1.34,13.66,-14.53,0.33,2.59,29.11,0.231,2026-05-03
VGK,3.0,2026-04-14,11.69,3.01,15.51,-14.65,0.06,2.93,36.61,-0.1034,2026-05-03
XLI,3.0,2026-04-14,20.2,1.27,16.13,-19.15,0.08,9.94,28.33,-0.1784,2026-05-03
EFV,3.0,2026-04-14,16.2,4.01,14.94,-13.72,0.31,2.69,28.64,-0.0106,2026-05-03
ACWI,3.0,2026-04-14,16.74,1.59,14.38,-16.55,0.32,3.38,28.21,0.0991,2026-05-03
MGK,3.0,2026-04-14,24.58,0.39,19.92,-23.53,0.05,0.37,27.85,0.1825,2026-05-03
IDEV,3.0,2026-04-14,12.68,3.37,14.96,-13.5,0.04,1.13,27.53,-0.0321,2026-05-03
TQQQ,3.0,2026-04-14,54.95,0.75,58.59,-58.3,0.82,144.82,24.59,-0.0714,2026-05-03
IUSG,3.0,2026-04-14,23.31,0.58,18.61,-22.38,0.04,0.51,25.97,0.2586,2026-05-03
EEM,3.0,2026-04-14,15.53,2.16,17.67,-18.67,0.72,29.08,24.91,-0.0279,2026-05-03
VXF,3.0,2026-04-14,16.49,1.18,20.1,-27.38,0.05,0.42,81.52,-0.0173,2026-05-03
XLU,3.0,2026-04-14,10.51,2.59,16.14,-19.69,0.08,25.61,24.42,-0.2951,2026-05-03
MDY,3.0,2026-04-14,12.77,1.16,18.16,-24.5,0.23,0.91,24.22,-0.0431,2026-05-03
SOXX,3.0,2026-04-14,41.08,0.51,35.24,-41.67,0.34,4.56,20.59,0.0432,2026-05-03
IUSV,3.0,2026-04-14,12.53,1.81,13.07,-18.56,0.04,0.72,24.08,0.0716,2026-05-03
XLC,3.0,2026-04-14,24.87,1.26,16.94,-18.21,0.08,5.54,24.11,-0.3143,2026-05-03
AVUV,3.0,2026-04-14,16.19,1.41,21.56,-29.36,0.25,0.81,23.43,-0.1188,2026-05-03
FNDX,3.0,2026-04-14,16.11,1.62,13.33,-17.01,0.25,2.76,23.67,0.0801,2026-05-03
FNDF,3.0,2026-04-14,17.12,3.25,15.0,-14.48,0.25,1.17,21.24,-0.004,2026-05-03
USMV,3.0,2026-04-14,8.34,1.59,10.48,-9.68,0.15,2.52,22.56,0.1367,2026-05-03
DVY,3.0,2026-04-14,8.88,3.46,14.34,-17.46,0.38,0.52,22.29,0.0602,2026-05-03
MTUM,3.0,2026-04-14,22.97,0.82,19.85,-21.2,0.15,0.77,20.24,0.2624,2026-05-03
VOOG,3.0,2026-04-14,23.85,0.54,18.86,-22.3,0.07,0.19,20.82,0.1649,2026-05-03
XLY,3.0,2026-04-14,15.87,0.82,20.72,-26.35,0.08,9.17,21.45,-0.3054,2026-05-03
AVEM,3.0,2026-04-14,17.55,2.45,17.47,-19.75,0.33,0.71,19.94,0.0084,2026-05-03
VOE,3.0,2026-04-14,12.49,1.99,14.08,-19.47,0.05,0.33,34.67,-0.0077,2026-05-03
VBK,3.0,2026-04-14,14.48,0.52,20.99,-27.76,0.05,0.25,38.69,0.1591,2026-05-03
RDVY,3.0,2026-04-14,17.13,1.03,17.0,-19.84,0.47,0.94,19.85,-0.0403,2026-05-03
SCHA,3.0,2026-04-14,14.75,1.17,20.47,-27.9,0.04,2.58,19.8,0.2027,2026-05-03
SDY,3.0,2026-04-14,6.2,2.53,12.4,-15.57,0.35,0.32,20.67,-0.16,2026-05-03
CGGR,3.0,2026-04-14,23.84,0.11,19.06,-23.37,0.39,1.98,19.47,0.2926,2026-05-03
EMXC,3.0,2026-04-14,19.64,2.64,16.98,-20.5,0.25,2.11,17.54,-0.0317,2026-05-03
EWJ,3.0,2026-04-14,14.88,4.33,19.0,-15.99,0.49,6.51,18.33,-0.2067,2026-05-03
DFIV,3.0,2026-04-14,18.57,2.73,14.78,-15.02,0.27,0.92,18.02,0.2638,2026-05-03
IYW,3.0,2026-04-14,29.3,0.15,23.39,-26.51,0.38,0.92,17.69,-0.019,2026-05-03
IWP,3.0,2026-04-14,13.82,0.36,19.35,-25.26,0.23,0.89,18.66,-0.0983,2026-05-03
VYMI,3.0,2026-04-14,15.78,3.64,14.05,-13.53,0.07,0.63,18.79,0.0927,2026-05-03
DFUS,3.0,2026-04-14,18.85,0.97,15.28,-19.61,0.09,0.41,17.96,0.0,2026-05-03
AVDV,3.0,2026-04-14,21.2,3.0,16.15,-14.17,0.36,0.52,17.26,0.0726,2026-05-03
OEF,3.0,2026-04-14,21.26,0.98,15.95,-19.97,0.2,0.45,17.84,-0.0107,2026-05-03
EWY,3.0,2026-04-14,30.87,1.69,28.77,-29.06,0.59,5.28,15.74,0.0169,2026-05-03
IWV,3.0,2026-04-14,18.35,0.99,15.24,-19.48,0.2,0.19,17.05,0.1148,2026-05-03
COWZ,3.0,2026-04-14,9.09,2.06,15.35,-22.64,0.49,2.04,18.17,0.1314,2026-05-03
VONV,3.0,2026-04-14,13.27,1.82,13.13,-16.54,0.06,0.68,18.28,0.128,2026-05-03
SPYG,3.0,2026-04-15,24.7,0.58,18.91,-22.25,0.04,2.67,41.63,-0.0662,2026-05-03
VOT,3.0,2026-04-15,12.61,0.72,17.8,-21.91,0.05,0.19,29.25,-0.0209,2026-05-03
SPEM,3.0,2026-04-15,13.4,2.84,15.97,-18.92,0.07,1.94,15.67,-0.0068,2026-05-03
SPHQ,3.0,2026-04-15,18.7,1.19,14.16,-16.82,0.15,1.12,15.73,0.1606,2026-05-03
SPMD,3.0,2026-04-15,12.71,1.37,18.06,-24.63,0.03,1.47,15.63,-0.0846,2026-05-03
VHT,3.0,2026-04-15,3.96,1.72,13.84,-17.84,0.09,0.23,18.59,-0.0012,2026-05-03
FTEC,3.0,2026-04-15,26.91,0.46,23.53,-27.48,0.084,0.3,15.05,-0.0476,2026-05-03
DGRW,3.0,2026-04-15,13.54,1.43,12.75,-16.79,0.28,0.68,15.37,0.1574,2026-05-03
BBJP,3.0,2026-04-15,14.67,5.13,18.94,-16.84,0.19,1.53,15.01,-0.325,2026-05-03
DFAI,3.0,2026-04-15,14.7,2.45,14.36,-13.52,0.18,1.1,14.55,-0.0168,2026-05-03
ESGU,3.0,2026-04-15,18.39,1.07,15.34,-19.54,0.15,0.72,14.82,-0.0379,2026-05-03
AVDE,3.0,2026-04-15,15.91,2.7,14.81,-13.46,0.23,0.46,14.4,-0.097,2026-05-03
IWY,3.0,2026-04-15,24.73,0.39,19.4,-23.38,0.2,0.38,14.74,0.1394,2026-05-03
EFG,3.0,2026-04-15,8.36,2.58,16.51,-17.44,0.34,1.06,13.9,-0.1572,2026-05-03
VTWO,3.0,2026-04-15,14.65,1.26,21.23,-28.04,0.06,2.27,14.52,0.0709,2026-05-03
IWS,3.0,2026-04-15,13.05,1.48,15.59,-21.19,0.23,0.46,14.16,-0.0917,2026-05-03
SPSM,3.0,2026-04-15,11.29,1.59,20.53,-28.66,0.03,1.78,13.87,-0.1299,2026-05-03
XLP,3.0,2026-04-15,2.51,2.65,12.11,-14.55,0.08,13.16,15.48,-0.2971,2026-05-03
GSLC,3.0,2026-04-15,17.69,1.06,14.8,-19.08,0.09,0.29,13.85,-0.1276,2026-05-03
SCZ,3.0,2026-04-15,11.7,3.27,15.25,-16.18,0.4,1.2,13.43,-0.2421,2026-05-03
ITA,3.0,2026-04-15,26.76,0.49,18.87,-15.88,0.38,0.57,13.49,0.0851,2026-05-03
DFUV,3.0,2026-04-15,14.12,1.51,14.75,-18.26,0.21,0.34,13.44,0.0,2026-05-03
DFIC,3.0,2026-04-15,15.52,2.47,14.26,-13.4,0.22,0.98,12.74,0.7162,2026-05-03
SCHM,3.0,2026-04-15,13.63,1.41,17.76,-23.8,0.04,1.14,12.91,-0.0214,2026-05-03
SOXL,3.0,2026-04-15,76.92,0.16,104.4,-87.97,0.75,88.44,12.23,-0.0557,2026-05-03
HDV,3.0,2026-04-15,8.78,2.92,11.67,-10.61,0.08,0.53,13.55,0.2367,2026-05-03
DFAS,3.0,2026-04-15,12.83,1.02,19.74,-26.48,0.26,0.42,12.75,0.2271,2026-05-03
SPMO,3.0,2026-04-15,31.26,0.91,19.04,-20.28,0.13,0.92,12.32,-0.0775,2026-05-03
DFAT,3.0,2026-04-15,13.77,1.56,20.42,-26.61,0.28,0.32,12.67,0.1404,2026-05-03
IWN,3.0,2026-04-15,14.05,1.63,20.83,-27.3,0.24,1.13,12.46,-0.1158,2026-05-03
IWO,3.0,2026-04-15,14.96,0.48,22.36,-28.92,0.24,0.45,12.17,-0.1257,2026-05-03
IQLT,3.0,2026-04-15,11.12,2.29,14.9,-14.16,0.3,1.54,11.94,-0.0664,2026-05-03
PAVE,3.0,2026-04-15,25.93,0.86,20.22,-26.49,0.47,1.14,11.63,0.1561,2026-05-03
VFH,3.0,2026-04-15,16.76,1.61,17.17,-17.65,0.09,0.53,13.35,0.0979,2026-05-03
SPTM,3.0,2026-04-15,18.46,1.2,14.91,-19.13,0.03,0.58,11.74,0.1284,2026-05-03
AMLP,3.0,2026-04-15,9.47,7.56,15.51,-15.79,1.01,1.44,12.16,0.0502,2026-05-03
SCHE,3.0,2026-04-15,12.64,2.94,16.56,-19.35,0.07,1.44,11.18,-0.0217,2026-05-03
ESGV,3.0,2026-04-15,18.98,1.01,16.2,-20.62,0.09,0.22,11.11,0.0233,2026-05-03
MOAT,3.0,2026-04-15,10.87,1.45,15.66,-22.49,0.46,0.86,11.62,0.0376,2026-05-03
MGV,3.0,2026-04-15,13.21,2.06,12.18,-13.94,0.05,0.23,11.41,0.0395,2026-05-03
AVUS,3.0,2026-04-15,18.43,1.04,15.47,-20.26,0.15,0.3,10.91,0.0665,2026-05-03
DFAX,3.0,2026-04-15,15.89,2.51,14.47,-14.21,0.28,0.64,10.52,-0.2096,2026-05-03
VSS,3.0,2026-04-15,12.07,3.35,14.82,-17.57,0.06,0.35,12.77,-0.0793,2026-05-03
ESGD,3.0,2026-04-15,11.74,3.59,15.32,-13.98,0.2,0.35,10.69,-0.0856,2026-05-03
NOBL,3.0,2026-04-15,5.54,2.14,12.81,-16.24,0.35,0.61,11.06,0.1257,2026-05-03
AVLV,3.0,2026-04-15,17.89,1.21,15.36,-20.18,0.15,0.38,10.41,0.1471,2026-05-03
DUHP,3.0,2026-04-15,15.49,1.09,13.97,-18.06,0.2,0.93,10.47,0.0,2026-05-03
VLUE,3.0,2026-04-15,18.47,2.0,16.05,-18.96,0.15,0.49,10.02,0.2207,2026-05-03
DFAU,3.0,2026-04-15,18.44,1.03,15.17,-19.68,0.12,0.6,10.23,0.0234,2026-05-03
ACWX,3.0,2026-04-15,14.03,2.78,15.07,-14.41,0.32,1.44,9.37,0.0446,2026-05-03
EWZ,3.0,2026-04-15,12.72,4.32,24.45,-37.18,0.59,25.05,9.72,0.0876,2026-05-03
SDVY,3.0,2026-04-15,16.18,1.02,19.65,-26.8,0.58,1.16,10.1,-0.0094,2026-05-03
IGF,3.0,2026-04-15,11.72,2.96,13.09,-16.22,0.39,0.63,10.1,-0.106,2026-05-03
BBCA,3.0,2026-04-15,16.96,1.86,15.01,-13.33,0.19,0.28,10.0,-0.1091,2026-05-03
VDE,3.0,2026-04-15,10.27,2.27,21.53,-22.6,0.09,0.55,13.2,-0.0945,2026-05-03
IGV,3.0,2026-04-15,9.57,0.0,24.46,-36.61,0.39,6.03,10.38,-0.1054,2026-05-03
IJK,3.0,2026-04-15,14.57,0.62,18.81,-25.9,0.17,0.33,9.91,0.0052,2026-05-03
PBUS,3.0,2026-04-15,19.26,1.14,15.11,-19.33,0.04,0.3,9.38,0.0382,2026-05-03
GDXJ,3.0,2026-04-15,48.03,2.23,40.57,-32.92,0.51,5.75,9.02,0.2186,2026-05-03
FNDA,3.0,2026-04-15,12.74,1.21,19.79,-26.43,0.25,0.78,9.28,0.1474,2026-05-03
SCHH,3.0,2026-04-15,5.65,3.03,16.91,-19.51,0.07,5.68,9.15,-0.1827,2026-05-03
CGUS,3.0,2026-04-15,20.02,1.0,14.44,-18.27,0.33,0.79,8.85,0.0,2026-05-03
EZU,3.0,2026-04-15,13.79,2.92,17.06,-15.02,0.5,2.3,9.07,-0.1209,2026-05-03
CGGO,3.0,2026-04-15,16.69,2.11,16.23,-17.93,0.47,0.81,8.81,0.0,2026-05-03
PVAL,3.0,2026-04-15,20.13,0.98,13.74,-15.98,0.55,0.51,8.82,0.0259,2026-05-03
QLD,3.0,2026-04-15,43.9,0.19,39.25,-42.34,0.95,6.94,8.35,-0.2977,2026-05-03
FNDE,3.0,2026-04-15,14.93,4.04,17.1,-21.47,0.39,0.83,8.71,0.0077,2026-05-03
AIRR,3.0,2026-04-15,38.74,0.16,25.43,-28.08,0.69,0.36,8.39,0.1537,2026-05-03
CIBR,3.0,2026-04-15,14.16,0.65,21.65,-22.34,0.58,0.77,9.49,0.0845,2026-05-03
ONEQ,3.0,2026-04-15,25.08,0.83,19.91,-24.36,0.21,0.29,8.6,0.0517,2026-05-03
BBEU,3.0,2026-04-15,12.18,3.0,15.13,-14.49,0.09,0.75,8.54,-0.1168,2026-05-03
PRF,3.0,2026-04-15,16.24,1.56,13.32,-16.62,0.34,0.39,8.75,0.1379,2026-05-03
VPU,3.0,2026-04-15,10.15,2.57,16.02,-19.99,0.09,0.22,10.79,0.088,2026-05-03
FDVV,3.0,2026-04-15,14.11,3.0,12.88,-17.16,0.15,0.53,8.53,0.188,2026-05-03
MGC,3.0,2026-04-15,20.59,1.02,15.45,-19.52,0.05,0.11,9.36,-0.0458,2026-05-03
IEUR,3.0,2026-04-15,11.83,3.01,15.55,-14.25,0.1,0.94,8.33,-0.1146,2026-05-03
SHLD,2.6,2026-04-15,53.13,0.51,20.86,-15.06,0.5,0.65,8.08,0.2008,2026-05-03
DBEF,3.0,2026-04-15,13.24,5.49,13.84,-14.62,0.35,0.63,8.18,-0.1141,2026-05-03
JGRO,3.0,2026-04-15,23.1,0.17,19.23,-22.7,0.44,0.32,8.18,0.6083,2026-05-03
VIGI,3.0,2026-04-15,7.08,2.27,13.29,-15.3,0.07,0.29,8.76,-0.0381,2026-05-03
SPYI,3.0,2026-04-15,2.44,12.5,13.02,-18.53,0.68,1.26,8.12,0.0938,2026-05-03
GRID,3.0,2026-04-15,23.14,0.92,19.14,-20.9,0.56,0.19,7.65,0.057,2026-05-03
DFAE,3.0,2026-04-15,16.71,2.18,16.71,-18.76,0.29,0.8,7.7,0.9182,2026-05-03
RWL,3.0,2026-04-15,15.96,1.38,12.46,-14.72,0.39,0.17,8.09,0.1718,2026-05-03
IGM,3.0,2026-04-15,33.52,0.18,23.33,-26.42,0.39,0.4,7.75,0.0106,2026-05-03
XBI,3.0,2026-04-15,18.5,0.35,27.06,-33.0,0.35,9.55,7.43,0.1144,2026-05-03
IDV,3.0,2026-04-15,16.06,4.63,14.63,-14.21,0.5,0.77,7.94,0.0156,2026-05-03
PPA,3.0,2026-04-15,29.84,0.4,17.5,-15.5,0.58,0.18,7.85,0.1361,2026-05-03
IJJ,3.0,2026-04-15,10.86,1.77,18.35,-23.35,0.18,0.19,7.98,-0.0023,2026-05-03
DFEM,3.0,2026-04-15,16.36,2.26,16.24,-18.81,0.39,0.67,7.46,0.0,2026-05-03
IBB,3.0,2026-04-15,9.67,0.23,19.73,-25.06,0.44,1.65,8.12,0.0875,2026-05-03
QYLD,3.0,2026-04-15,0.64,11.93,13.35,-20.58,0.6,5.51,8.08,0.0616,2026-05-03
IOO,3.0,2026-04-15,22.26,0.96,15.91,-19.19,0.4,0.17,7.59,0.0264,2026-05-03
VPL,3.0,2026-04-15,15.77,3.3,17.31,-18.25,0.07,0.65,11.86,-0.0201,2026-05-03
VDC,3.0,2026-04-15,4.58,2.15,11.95,-12.78,0.09,0.14,9.24,0.1725,2026-05-03
FTCS,3.0,2026-04-15,8.32,1.11,11.3,-13.22,0.52,0.35,7.85,-0.0577,2026-05-03
AIQ,3.0,2026-04-15,29.21,0.2,22.53,-26.35,0.68,0.83,7.22,0.0606,2026-05-03
THRO,3.0,2026-04-15,20.56,0.19,15.92,-19.09,0.57,0.51,7.35,0.0649,2026-05-03
EWT,3.0,2026-04-15,21.35,1.4,24.13,-28.01,0.59,3.46,7.18,0.0492,2026-05-03
URTH,3.0,2026-04-15,17.31,1.53,14.36,-16.94,0.24,0.3,7.31,0.0783,2026-05-03
GUNR,3.0,2026-04-15,8.32,2.23,16.52,-23.27,0.46,0.64,7.54,0.2193,2026-05-03
XLRE,3.0,2026-04-15,5.12,3.43,16.95,-18.25,0.08,6.43,7.31,-0.2617,2026-05-03
VIS,3.0,2026-04-15,21.27,0.97,17.17,-21.33,0.09,0.09,7.6,0.0365,2026-05-03
COPX,3.0,2026-04-15,27.93,2.59,35.71,-40.74,0.65,1.65,6.71,-0.0003,2026-05-03
BBUS,3.0,2026-04-15,19.09,1.14,15.01,-19.22,0.02,0.18,6.98,0.0242,2026-05-03
IJS,3.0,2026-04-15,10.38,1.43,21.71,-29.23,0.18,0.36,7.58,0.2999,2026-05-03
SPLV,3.0,2026-04-15,5.31,2.12,10.95,-10.52,0.25,2.36,7.31,-0.0825,2026-05-03
XLB,3.0,2026-04-15,8.58,1.75,17.02,-23.93,0.08,11.65,6.54,-0.3843,2026-05-03
FDL,3.0,2026-04-15,10.95,3.61,13.52,-13.19,0.43,0.79,7.35,0.1997,2026-05-03
VONE,3.0,2026-04-15,18.84,1.14,15.03,-19.31,0.06,0.08,10.18,0.1538,2026-05-03
SPYD,3.0,2026-04-15,6.1,4.37,14.8,-17.98,0.07,1.28,7.05,-0.0722,2026-05-03
JQUA,3.0,2026-04-15,15.53,1.26,13.7,-17.04,0.12,0.61,6.84,0.0772,2026-05-03
HEFA,3.0,2026-04-15,14.22,3.26,13.4,-14.28,0.35,1.06,6.8,-0.1141,2026-05-03
DFSV,3.0,2026-04-15,13.6,1.53,21.35,-28.52,0.3,0.9,6.83,0.1599,2026-05-03
URA,3.0,2026-04-15,39.2,4.4,40.86,-39.45,0.69,3.29,6.51,0.1592,2026-05-03
JGLO,2.6,2026-04-15,14.79,1.25,14.26,-17.73,0.47,0.33,6.54,0.0,2026-05-03
IJT,3.0,2026-04-15,12.83,0.86,20.18,-27.73,0.18,0.12,6.51,0.2733,2026-05-03
IXN,3.0,2026-04-15,28.09,0.34,23.4,-25.55,0.39,0.23,6.26,0.0569,2026-05-03
MCHI,3.0,2026-04-15,5.22,2.27,27.5,-27.63,0.59,3.59,6.61,-0.0124,2026-05-03
DIVO,3.0,2026-04-15,8.2,5.12,10.98,-13.29,0.56,0.45,6.61,0.1376,2026-05-03
TCAF,2.8,2026-04-15,15.41,0.54,14.15,-16.57,0.31,0.67,6.22,-0.2057,2026-05-03
BBAX,3.0,2026-04-15,8.06,3.73,16.77,-21.47,0.19,0.27,6.09,-0.0902,2026-05-03
XMMO,3.0,2026-04-15,28.0,0.71,19.99,-25.22,0.35,0.26,5.84,-0.0168,2026-05-03
VFLO,2.8,2026-04-15,19.13,1.42,15.82,-18.3,0.39,0.63,6.16,0.0823,2026-05-03
BBIN,3.0,2026-04-15,12.38,3.9,15.33,-14.26,0.07,0.21,5.84,-0.1517,2026-05-03
INDA,3.0,2026-04-15,7.54,0.0,13.96,-23.28,0.61,5.15,6.75,0.1028,2026-05-03
ESGE,3.0,2026-04-15,16.29,2.45,17.93,-18.03,0.25,0.77,5.88,-0.0277,2026-05-03
KWEB,3.0,2026-04-15,-0.42,7.53,35.45,-35.31,0.7,21.2,6.04,-0.0158,2026-05-03
DXJ,3.0,2026-04-15,32.4,1.21,20.44,-22.19,0.48,0.66,5.85,-0.3029,2026-05-03
JAVA,3.0,2026-04-15,12.48,1.35,13.11,-17.08,0.44,0.24,5.97,0.0,2026-05-03
VSGX,3.0,2026-04-15,13.39,3.29,15.19,-15.12,0.1,0.16,5.78,-0.1416,2026-05-03
VOOV,3.0,2026-04-15,12.36,1.8,12.87,-18.39,0.07,0.09,6.24,0.1367,2026-05-03
XAR,3.0,2026-04-15,33.67,0.35,22.42,-19.82,0.35,0.13,5.78,0.1744,2026-05-03
FXI,3.0,2026-04-15,7.8,2.59,28.53,-30.51,0.73,39.49,5.92,-0.1221,2026-05-03
ARKK,3.0,2026-04-15,24.47,0.0,39.39,-39.56,0.75,11.74,5.98,-0.0461,2026-05-03
SSO,3.0,2026-04-15,32.33,0.82,29.72,-35.34,0.87,5.89,5.41,-0.0949,2026-05-03
VCR,3.0,2026-04-15,15.58,0.8,21.14,-27.64,0.09,0.06,6.16,0.038,2026-05-03
DLN,3.0,2026-04-15,13.72,1.91,11.73,-14.01,0.28,0.16,5.65,0.326,2026-05-03
DIHP,3.0,2026-04-15,11.6,2.17,14.17,-12.96,0.27,0.48,5.39,0.7162,2026-05-03
VOX,3.0,2026-04-15,25.83,1.05,18.19,-21.34,0.09,0.19,5.78,0.153,2026-05-03
DFLV,3.0,2026-04-15,14.13,1.55,14.12,-17.54,0.21,0.54,5.37,0.2457,2026-05-03
