ETF,Years_Data,Date,Return_CAGR (%),Return_Div (%),Risk_Vol (%),Risk_MaxDD (%),Cost_ExpRatio (%),Liq_Volume (M),Liq_AUM (B),FinBERT_score,FinBERT_date
DFAI,3.0,2026-04-15,14.7,2.45,14.36,-13.52,0.18,1.1,14.55,-0.0723,2026-04-16
ESGU,3.0,2026-04-15,18.39,1.07,15.34,-19.54,0.15,0.72,14.82,-0.031,2026-04-16
AVDE,3.0,2026-04-15,15.91,2.7,14.81,-13.46,0.23,0.46,14.4,-0.1036,2026-04-16
IWY,3.0,2026-04-15,24.73,0.39,19.4,-23.38,0.2,0.38,14.74,0.1175,2026-04-16
EFG,3.0,2026-04-15,8.36,2.58,16.51,-17.44,0.34,1.06,13.9,-0.1697,2026-04-16
VTWO,3.0,2026-04-15,14.65,1.26,21.23,-28.04,0.06,2.27,14.52,0.0752,2026-04-16
IWS,3.0,2026-04-15,13.05,1.48,15.59,-21.19,0.23,0.46,14.16,-0.2328,2026-04-16
SPSM,3.0,2026-04-15,11.29,1.59,20.53,-28.66,0.03,1.78,13.87,-0.2448,2026-04-16
XLP,3.0,2026-04-15,2.51,2.65,12.11,-14.55,0.08,13.16,15.48,-0.2929,2026-04-16
GSLC,3.0,2026-04-15,17.69,1.06,14.8,-19.08,0.09,0.29,13.85,-0.1141,2026-04-16
SCZ,3.0,2026-04-15,11.7,3.27,15.25,-16.18,0.4,1.2,13.43,-0.2676,2026-04-16
ITA,3.0,2026-04-15,26.76,0.49,18.87,-15.88,0.38,0.57,13.49,0.11,2026-04-16
DFUV,3.0,2026-04-15,14.12,1.51,14.75,-18.26,0.21,0.34,13.44,0.0,2026-04-16
DFIC,3.0,2026-04-15,15.52,2.47,14.26,-13.4,0.22,0.98,12.74,0.7162,2026-04-16
SCHM,3.0,2026-04-15,13.63,1.41,17.76,-23.8,0.04,1.14,12.91,-0.086,2026-04-16
SOXL,3.0,2026-04-15,76.92,0.16,104.4,-87.97,0.75,88.44,12.23,-0.0293,2026-04-16
HDV,3.0,2026-04-15,8.78,2.92,11.67,-10.61,0.08,0.53,13.55,0.1432,2026-04-16
DFAS,3.0,2026-04-15,12.83,1.02,19.74,-26.48,0.26,0.42,12.75,0.2773,2026-04-16
SPMO,3.0,2026-04-15,31.26,0.91,19.04,-20.28,0.13,0.92,12.32,-0.2208,2026-04-16
DFAT,3.0,2026-04-15,13.77,1.56,20.42,-26.61,0.28,0.32,12.67,0.3365,2026-04-16
IWN,3.0,2026-04-15,14.05,1.63,20.83,-27.3,0.24,1.13,12.46,-0.2401,2026-04-16
IWO,3.0,2026-04-15,14.96,0.48,22.36,-28.92,0.24,0.45,12.17,-0.2422,2026-04-16
IQLT,3.0,2026-04-15,11.12,2.29,14.9,-14.16,0.3,1.54,11.94,-0.07,2026-04-16
PAVE,3.0,2026-04-15,25.93,0.86,20.22,-26.49,0.47,1.14,11.63,0.106,2026-04-16
VFH,3.0,2026-04-15,16.76,1.61,17.17,-17.65,0.09,0.53,13.35,0.1038,2026-04-16
SPTM,3.0,2026-04-15,18.46,1.2,14.91,-19.13,0.03,0.58,11.74,0.1584,2026-04-16
AMLP,3.0,2026-04-15,9.47,7.56,15.51,-15.79,1.01,1.44,12.16,0.0508,2026-04-16
SCHE,3.0,2026-04-15,12.64,2.94,16.56,-19.35,0.07,1.44,11.18,0.0468,2026-04-16
ESGV,3.0,2026-04-15,18.98,1.01,16.2,-20.62,0.09,0.22,11.11,0.0315,2026-04-16
MOAT,3.0,2026-04-15,10.87,1.45,15.66,-22.49,0.46,0.86,11.62,0.048,2026-04-16
MGV,3.0,2026-04-15,13.21,2.06,12.18,-13.94,0.05,0.23,11.41,0.0634,2026-04-16
AVUS,3.0,2026-04-15,18.43,1.04,15.47,-20.26,0.15,0.3,10.91,0.0721,2026-04-16
DFAX,3.0,2026-04-15,15.89,2.51,14.47,-14.21,0.28,0.64,10.52,0.7162,2026-04-16
VSS,3.0,2026-04-15,12.07,3.35,14.82,-17.57,0.06,0.35,12.77,-0.2021,2026-04-16
ESGD,3.0,2026-04-15,11.74,3.59,15.32,-13.98,0.2,0.35,10.69,-0.09,2026-04-16
NOBL,3.0,2026-04-15,5.54,2.14,12.81,-16.24,0.35,0.61,11.06,0.0672,2026-04-16
AVLV,3.0,2026-04-15,17.89,1.21,15.36,-20.18,0.15,0.38,10.41,0.1429,2026-04-16
DUHP,3.0,2026-04-15,15.49,1.09,13.97,-18.06,0.2,0.93,10.47,0.0,2026-04-16
VLUE,3.0,2026-04-15,18.47,2.0,16.05,-18.96,0.15,0.49,10.02,0.2782,2026-04-16
DFAU,3.0,2026-04-15,18.44,1.03,15.17,-19.68,0.12,0.6,10.23,0.0316,2026-04-16
ACWX,3.0,2026-04-15,14.03,2.78,15.07,-14.41,0.32,1.44,9.37,-0.0084,2026-04-16
EWZ,3.0,2026-04-15,12.72,4.32,24.45,-37.18,0.59,25.05,9.72,0.1101,2026-04-16
SDVY,3.0,2026-04-15,16.18,1.02,19.65,-26.8,0.58,1.16,10.1,-0.0806,2026-04-16
IGF,3.0,2026-04-15,11.72,2.96,13.09,-16.22,0.39,0.63,10.1,-0.1672,2026-04-16
BBCA,3.0,2026-04-15,16.96,1.86,15.01,-13.33,0.19,0.28,10.0,-0.1271,2026-04-16
VDE,3.0,2026-04-15,10.27,2.27,21.53,-22.6,0.09,0.55,13.2,-0.0919,2026-04-16
IGV,3.0,2026-04-15,9.57,0.0,24.46,-36.61,0.39,6.03,10.38,-0.1099,2026-04-16
IJK,3.0,2026-04-15,14.57,0.62,18.81,-25.9,0.17,0.33,9.91,-0.0508,2026-04-16
PBUS,3.0,2026-04-15,19.26,1.14,15.11,-19.33,0.04,0.3,9.38,0.0609,2026-04-16
GDXJ,3.0,2026-04-15,48.03,2.23,40.57,-32.92,0.51,5.75,9.02,0.2496,2026-04-16
FNDA,3.0,2026-04-15,12.74,1.21,19.79,-26.43,0.25,0.78,9.28,0.1846,2026-04-16
SCHH,3.0,2026-04-15,5.65,3.03,16.91,-19.51,0.07,5.68,9.15,-0.1904,2026-04-16
CGUS,3.0,2026-04-15,20.02,1.0,14.44,-18.27,0.33,0.79,8.85,0.0,2026-04-16
EZU,3.0,2026-04-15,13.79,2.92,17.06,-15.02,0.5,2.3,9.07,-0.0747,2026-04-16
CGGO,3.0,2026-04-15,16.69,2.11,16.23,-17.93,0.47,0.81,8.81,0.0,2026-04-16
PVAL,3.0,2026-04-15,20.13,0.98,13.74,-15.98,0.55,0.51,8.82,0.0784,2026-04-16
QLD,3.0,2026-04-15,43.9,0.19,39.25,-42.34,0.95,6.94,8.35,-0.3767,2026-04-16
FNDE,3.0,2026-04-15,14.93,4.04,17.1,-21.47,0.39,0.83,8.71,0.0077,2026-04-16
AIRR,3.0,2026-04-15,38.74,0.16,25.43,-28.08,0.69,0.36,8.39,0.2023,2026-04-16
CIBR,3.0,2026-04-15,14.16,0.65,21.65,-22.34,0.58,0.77,9.49,-0.0059,2026-04-16
ONEQ,3.0,2026-04-15,25.08,0.83,19.91,-24.36,0.21,0.29,8.6,-0.0154,2026-04-16
BBEU,3.0,2026-04-15,12.18,3.0,15.13,-14.49,0.09,0.75,8.54,-0.0773,2026-04-16
PRF,3.0,2026-04-15,16.24,1.56,13.32,-16.62,0.34,0.39,8.75,0.1928,2026-04-16
VPU,3.0,2026-04-15,10.15,2.57,16.02,-19.99,0.09,0.22,10.79,0.1122,2026-04-16
FDVV,3.0,2026-04-15,14.11,3.0,12.88,-17.16,0.15,0.53,8.53,0.1229,2026-04-16
MGC,3.0,2026-04-15,20.59,1.02,15.45,-19.52,0.05,0.11,9.36,-0.0272,2026-04-16
IEUR,3.0,2026-04-15,11.83,3.01,15.55,-14.25,0.1,0.94,8.33,-0.072,2026-04-16
SHLD,2.6,2026-04-15,53.13,0.51,20.86,-15.06,0.5,0.65,8.08,0.1984,2026-04-16
DBEF,3.0,2026-04-15,13.24,5.49,13.84,-14.62,0.35,0.63,8.18,-0.1212,2026-04-16
JGRO,3.0,2026-04-15,23.1,0.17,19.23,-22.7,0.44,0.32,8.18,0.6083,2026-04-16
VIGI,3.0,2026-04-15,7.08,2.27,13.29,-15.3,0.07,0.29,8.76,-0.0814,2026-04-16
SPYI,3.0,2026-04-15,2.44,12.5,13.02,-18.53,0.68,1.26,8.12,0.0934,2026-04-16
GRID,3.0,2026-04-15,23.14,0.92,19.14,-20.9,0.56,0.19,7.65,-0.055,2026-04-16
DFAE,3.0,2026-04-15,16.71,2.18,16.71,-18.76,0.29,0.8,7.7,0.9182,2026-04-16
RWL,3.0,2026-04-15,15.96,1.38,12.46,-14.72,0.39,0.17,8.09,0.0335,2026-04-16
IGM,3.0,2026-04-15,33.52,0.18,23.33,-26.42,0.39,0.4,7.75,-0.011,2026-04-16
XBI,3.0,2026-04-15,18.5,0.35,27.06,-33.0,0.35,9.55,7.43,0.1233,2026-04-16
