ETF,Years_Data,Date,Return_CAGR (%),Return_Div (%),Risk_Vol (%),Risk_MaxDD (%),Cost_ExpRatio (%),Liq_Volume (M),Liq_AUM (B),FinBERT_score,FinBERT_date
IVE,3.0,2026-04-14,12.6,1.64,12.88,-18.35,0.18,0.75,46.62,0.1665,2026-04-16
JEPI,3.0,2026-04-14,1.85,8.4,10.43,-15.93,0.35,4.15,43.96,0.1378,2026-04-16
IWB,3.0,2026-04-14,18.54,1.06,15.08,-19.31,0.15,0.97,42.78,0.0645,2026-04-16
DIA,3.0,2026-04-14,12.56,1.52,13.5,-16.51,0.16,4.01,41.76,-0.149,2026-04-16
DFAC,3.0,2026-04-14,17.09,1.03,15.25,-20.44,0.17,2.03,40.42,0.6101,2026-04-16
VONG,3.0,2026-04-14,22.99,0.51,19.13,-23.47,0.06,1.22,44.95,0.081,2026-04-16
XLE,3.0,2026-04-14,9.47,2.44,21.43,-22.06,0.08,35.79,43.6,-0.1877,2026-04-16
SCHB,3.0,2026-04-14,18.39,1.18,15.14,-19.58,0.03,4.3,36.93,0.099,2026-04-16
DGRO,3.0,2026-04-14,12.63,2.1,12.08,-14.97,0.08,1.72,37.55,0.0898,2026-04-16
XLV,3.0,2026-04-14,3.24,1.71,13.73,-18.11,0.08,9.9,38.6,-0.3151,2026-04-16
SPDW,3.0,2026-04-14,13.96,3.28,15.03,-13.96,0.03,3.61,35.65,-0.1222,2026-04-16
VNQ,3.0,2026-04-14,4.79,3.93,17.08,-19.38,0.13,4.1,64.66,-0.1218,2026-04-16
JEPQ,3.0,2026-04-14,8.96,11.11,15.47,-21.59,0.35,4.11,34.27,0.0193,2026-04-16
VBR,3.0,2026-04-14,13.19,1.91,18.29,-25.1,0.05,0.45,60.63,0.2302,2026-04-16
SPYV,3.0,2026-04-14,12.55,1.82,12.76,-18.38,0.04,2.7,31.78,-0.2453,2026-04-16
DYNF,3.0,2026-04-14,23.65,1.03,15.83,-18.98,0.26,1.81,30.01,0.056,2026-04-16
GDX,3.0,2026-04-14,41.52,0.69,36.42,-30.84,0.51,22.52,28.16,0.0769,2026-04-16
CGDV,3.0,2026-04-14,21.57,1.34,13.66,-14.53,0.33,2.59,29.11,0.2133,2026-04-16
VGK,3.0,2026-04-14,11.69,3.01,15.51,-14.65,0.06,2.93,36.61,-0.1118,2026-04-16
XLI,3.0,2026-04-14,20.2,1.27,16.13,-19.15,0.08,9.94,28.33,-0.1409,2026-04-16
EFV,3.0,2026-04-14,16.2,4.01,14.94,-13.72,0.31,2.69,28.64,-0.0059,2026-04-16
ACWI,3.0,2026-04-14,16.74,1.59,14.38,-16.55,0.32,3.38,28.21,0.0569,2026-04-16
MGK,3.0,2026-04-14,24.58,0.39,19.92,-23.53,0.05,0.37,27.85,0.1896,2026-04-16
