date,DIA,VO,XLF,DGRO,ITOT,VYM,XLV,SCHG,SPYG,VTV,RSP,VTI,IVV,IWD,VIG,SPY,SCHB,VUG,SCHD,SPYV,VOO,VV,IJH,VB,SCHX,SCHF,JEPI,IUSV,USMV,VOE,FNDF
2023-04-17,323.0883483886719,201.5547637939453,31.688213348388672,47.49668502807617,87.80268096923828,98.81329345703124,127.90708923339844,16.12543296813965,54.65106201171875,131.52194213867188,138.58277893066406,197.7570037841797,399.1961669921875,146.4606475830078,148.21945190429688,398.3369140625,15.474924087524414,245.5176239013672,22.03459930419922,38.81102752685547,365.262939453125,181.55490112304688,47.94440078735352,181.3022918701172,15.654233932495115,16.178037643432617,,,,,
2023-04-18,322.9743347167969,201.6977996826172,31.783493041992188,47.49668502807617,87.8603744506836,98.82245635986328,127.03187561035156,16.142702102661133,54.69994354248047,131.5965118408203,138.59228515625,197.85305786132807,399.4266357421875,146.51734924316406,148.45632934570312,398.5967712402344,15.484539985656738,245.76382446289065,22.04056167602539,38.83928680419922,365.5127258300781,181.69911193847656,47.88109970092773,181.082260131836,15.67347240447998,16.259723663330078,43.38943099975586,,,,
2023-04-19,322.2044677734375,201.54525756835932,31.85970687866211,47.53399658203125,87.88922119140625,98.85002136230467,127.42195129394533,16.13776397705078,54.690162658691406,131.44740295410156,138.63034057617188,197.9491271972656,399.3978271484375,146.50790405273438,148.3710174560547,398.5293884277344,15.484539985656738,245.9607696533203,21.98988151550293,38.85811614990234,365.4934997558594,181.69911193847656,47.97126007080078,181.39797973632807,15.670269012451172,16.196189880371094,43.3973274230957,,,,
2023-04-20,321.2159118652344,200.5345764160156,31.76443290710449,47.41270446777344,87.35073852539062,98.23495483398438,126.8987274169922,16.01689338684082,54.40668869018555,130.69259643554688,137.8690643310547,196.71969604492188,397.1607055664063,145.5066375732422,148.23838806152344,396.3546142578125,15.394795417785645,244.4049224853516,21.852767944335938,38.584999084472656,363.4283752441406,180.66065979003903,47.7794189453125,180.469970703125,15.574073791503906,16.196189880371094,43.41312789916992,69.96470642089844,69.9469223022461,125.90779113769531,28.728065490722656
2023-04-21,321.5431213378906,200.45828247070312,31.65010643005371,47.46869659423828,87.4372787475586,98.20742797851562,127.75489044189452,16.03909683227539,54.42623901367188,130.7391815185547,137.90711975097656,196.8926239013672,397.3816223144531,145.59164428710938,148.3046875,396.6624755859375,15.41082000732422,244.7298583984375,21.80805206298828,38.66033554077149,363.6397399902344,180.71836853027344,47.75831604003906,180.58477783203125,15.590106964111328,16.255184173583984,43.50000381469727,70.07787322998047,70.13702392578125,125.81436920166016,28.790847778320312
2023-04-24,322.1517333984375,200.7919921875,31.573883056640625,47.589969635009766,87.47575378417969,98.53789520263672,128.4683380126953,16.01689338684082,54.494667053222656,131.13058471679688,138.1640625,196.96945190429688,397.880859375,145.88446044921875,148.63629150390625,397.0763244628906,15.417229652404783,244.414779663086,21.852767944335938,38.66975784301758,364.1199951171875,180.8818359375,47.7794189453125,180.307373046875,15.599722862243652,16.286949157714844,43.56317901611328,70.07787322998047,70.2605972290039,126.03860473632812,28.871570587158203
2023-04-25,318.8993530273437,196.78741455078125,31.030820846557617,47.01153945922852,85.98528289794922,97.37203979492188,127.0985107421875,15.68880844116211,53.69312286376953,129.6862030029297,135.81361389160156,193.6846923828125,391.563232421875,143.82521057128906,146.8362579345703,390.7731628417969,15.154399871826172,239.3435211181641,21.50996398925781,38.03876876831055,358.3665466308594,177.97804260253906,46.85663604736328,176.37533569335938,15.343202590942385,16.046436309814453,43.17619705200195,68.91777038574219,69.6998062133789,124.27263641357422,28.42311668395996
2023-04-26,316.6358642578125,195.0139617919922,30.7354679107666,46.50774383544922,85.61026763916016,96.09600830078124,125.29109954833984,15.777612686157228,53.526954650878906,128.01820373535156,134.3957061767578,192.81069946289065,389.9695434570313,142.1721649169922,145.58570861816406,389.11810302734375,15.09029769897461,240.51531982421875,21.191011428833008,37.83156967163086,356.7720947265625,177.28570556640625,46.436485290527344,174.8542022705078,15.285484313964844,16.028282165527344,42.82080841064453,68.53107452392578,68.83485412597656,122.8710708618164,28.48590087890625
2023-04-27,321.6286926269531,197.87437438964844,31.230899810791016,47.05818939208984,87.20650482177734,97.22515106201172,125.94747161865234,16.18463897705078,54.445796966552734,129.83531188964844,136.6034393310547,196.4316253662109,397.7080078125,144.67538452148438,147.97311401367188,396.8646240234375,15.375561714172363,246.27589416503903,21.408615112304688,38.67918395996094,363.85101318359375,180.79527282714844,47.16741943359375,177.45640563964844,15.57728099822998,16.232492446899414,43.42892837524414,70.0495834350586,69.747314453125,124.96409606933594,28.85363006591797
2023-04-28,324.3199462890625,199.552474975586,31.60246658325196,47.47801971435547,87.95653533935547,98.07889556884766,127.02242279052734,16.298107147216797,54.88566207885742,130.9814910888672,138.11648559570312,198.14122009277344,401.0011901855469,146.06394958496094,149.280517578125,400.2519836425781,15.500566482543944,248.17637634277344,21.632179260253903,39.01822662353516,366.9631042480469,182.237548828125,47.61634826660156,179.19757080078125,15.708745002746582,16.227954864501953,43.75271987915039,70.65321350097656,70.1655502319336,126.13207244873047,28.871570587158203
