ETF,偏好組合 Weight (%),最大夏普 Weight (%)
VTV,40.0,0.0
SCHF,40.0,0.0
VYM,16.3,0.0
VOO,3.6999999999999997,0.09
FNDF,0.0,40.0
XLF,0.0,19.91
SCHG,0.0,40.0
