Metric,Preference-Driven,Max Sharpe
Arithmetic Annual Return (%),16.02,22.36
Historical CAGR (%),13.58,19.69
Dividend Yield (%),2.60,1.79
Expense Ratio (%),0.032,0.132
Annualized Volatility (%),12.57,14.73
Maximum Drawdown (%),-12.95,-16.44
Liquidity Volume (Millions),4.91,12.31
Liquidity AUM (Billions),135.91,40.19
True Portfolio HHI (Real),0.1305,0.1682
Weighted Sentiment Score,0.0313,0.0041
Sharpe Ratio,0.956,1.247
